property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_in_lakhs,price_category
PROP-034280,Hyderabad,Kondapur,Standard,Independent House,4,5,3,2253,1931,8,12,Mid (5-9),North-East,Unfurnished,18,0,7.6,0,0,0,1,3897,13.4,0.1,2,0,Resale,167.33,Low
PROP-019427,Delhi,Noida Sector 62,Standard,Apartment,4,5,4,1859,1517,12,14,High (10-19),South,Unfurnished,0,1,5.0,0,0,1,1,2750,10.8,1.9,2,1,Resale,211.06,High
PROP-002647,Hyderabad,Gachibowli,Standard,Row House,3,4,2,1176,965,6,15,Mid (5-9),East,Semi-Furnished,8,4,5.8,0,0,0,1,2103,10.1,3.2,0,2,Resale,71.42,Low
PROP-003919,Bangalore,HSR Layout,Standard,Independent House,4,4,1,2128,1804,0,3,Ground,North-East,Semi-Furnished,5,5,7.0,0,0,1,0,3086,17.8,0.5,2,0,Resale,179.02,Low
PROP-016155,Delhi,Dwarka,Standard,Independent House,2,2,1,1357,1176,5,14,Mid (5-9),West,Unfurnished,0,1,2.7,0,0,1,1,2673,10.5,0.2,1,1,Resale,69.07,Low
PROP-026372,Hyderabad,Kondapur,Standard,Apartment,2,2,2,970,814,4,5,Low (1-4),North-East,Fully Furnished,5,1,5.3,0,0,0,1,1979,10.8,2.1,4,3,Resale,82.95,Low
PROP-006113,Mumbai,Thane,Affordable,Row House,4,4,2,1945,1568,0,6,Ground,East,Unfurnished,9,1,4.5,0,0,1,0,2514,24.4,1.1,6,2,Resale,84.51,Low
PROP-020494,Bangalore,Electronic City,Standard,Independent House,4,4,2,2239,1934,13,20,High (10-19),East,Unfurnished,12,4,4.3,0,0,1,1,3711,10.5,0.8,2,3,New,101.48,Low
PROP-048149,Bangalore,HSR Layout,Standard,Apartment,3,4,0,1459,1208,4,5,Low (1-4),South-West,Unfurnished,7,1,4.5,0,0,0,1,2442,12.7,2.2,1,0,Resale,75.94,Low
PROP-042842,Delhi,Noida Extension,Affordable,Row House,3,4,2,1666,1388,38,45,Top (20+),South-East,Unfurnished,1,3,4.1,0,0,0,1,2621,31.6,0.1,1,4,Resale,92.1,Low
PROP-047520,Bangalore,Indiranagar,Premium,Independent House,2,3,1,1119,909,9,18,Mid (5-9),East,Semi-Furnished,3,0,8.2,1,0,1,1,4158,5.9,6.7,6,0,New,204.05,High
PROP-025463,Bangalore,Indiranagar,Premium,Villa,5,5,2,2987,2422,14,19,High (10-19),East,Semi-Furnished,0,4,7.4,1,1,1,1,7603,7.3,0.1,3,3,Resale,432.85,High
PROP-008143,Hyderabad,Jubilee Hills,Premium,Independent House,4,5,1,2103,1683,11,19,High (10-19),East,Semi-Furnished,3,5,6.2,1,0,1,1,4803,8.3,1.0,5,3,New,239.32,High
PROP-025665,Hyderabad,Gachibowli,Standard,Row House,4,4,4,1791,1472,6,15,Mid (5-9),South-West,Semi-Furnished,6,1,4.8,0,0,0,1,2236,10.9,3.3,3,2,Resale,122.04,Low
PROP-002096,Mumbai,Bandra,Premium,Studio,1,2,1,353,307,9,11,Mid (5-9),South,Fully Furnished,13,3,7.3,0,0,1,1,1918,4.4,3.1,2,4,Resale,50.12,Low
PROP-045775,Bangalore,Koramangala,Premium,Independent House,5,6,3,2558,2101,4,8,Low (1-4),North,Semi-Furnished,1,1,6.8,1,0,1,1,4545,5.5,13.6,5,3,Resale,336.25,High
PROP-040824,Mumbai,Bandra,Premium,Villa,4,4,2,2032,1721,9,18,Mid (5-9),East,Unfurnished,0,3,10.0,1,1,1,1,6933,4.8,1.4,3,3,Resale,281.03,High
PROP-037926,Mumbai,Bandra,Premium,Penthouse,4,3,4,2029,1659,15,19,High (10-19),North-East,Semi-Furnished,7,0,7.6,1,1,1,1,6800,8.3,1.2,2,4,Resale,355.6,High
PROP-032520,Mumbai,Powai,Standard,Villa,3,4,2,1532,1237,16,25,High (10-19),North-West,Semi-Furnished,0,3,6.2,1,0,0,1,4333,14.1,5.1,2,1,New,138.59,Low
PROP-006947,Hyderabad,Banjara Hills,Premium,Apartment,5,5,2,2307,1970,7,12,Mid (5-9),West,Semi-Furnished,3,4,6.1,0,1,1,1,5330,4.5,3.5,3,1,Resale,305.19,High
PROP-049471,Bangalore,Electronic City,Standard,Apartment,3,4,3,1266,1031,3,10,Low (1-4),East,Semi-Furnished,1,3,5.5,0,0,0,1,2026,14.9,2.5,1,3,Resale,105.65,Low
PROP-032122,Delhi,South Delhi,Premium,Apartment,3,3,3,1422,1229,6,13,Mid (5-9),North-West,Unfurnished,16,3,5.0,0,1,1,1,4838,4.7,6.2,7,0,Resale,169.7,Low
PROP-014092,Mumbai,Andheri,Standard,Apartment,3,3,2,1266,1096,9,10,Mid (5-9),West,Unfurnished,1,4,5.0,0,0,1,1,2295,15.3,6.0,2,0,Resale,101.29,Low
PROP-034637,Delhi,Noida Extension,Affordable,Apartment,3,3,2,1318,1065,5,7,Mid (5-9),West,Unfurnished,17,0,5.3,0,0,1,1,2999,20.2,1.7,3,0,Resale,66.25,Low
PROP-045056,Delhi,Noida Sector 62,Standard,Apartment,3,4,1,1373,1145,0,3,Ground,South,Unfurnished,4,0,3.6,0,0,1,0,2381,12.6,5.0,1,1,Resale,92.37,Low
PROP-035707,Mumbai,Bandra,Premium,Apartment,2,2,3,834,705,17,20,High (10-19),North,Unfurnished,7,0,5.8,1,0,1,1,3249,4.0,1.0,5,3,Resale,80.44,Low
PROP-009439,Bangalore,Electronic City,Standard,Apartment,2,3,3,892,714,19,27,High (10-19),West,Unfurnished,17,1,3.6,0,0,1,1,2270,14.6,0.2,3,2,Resale,37.73,Low
PROP-049315,Bangalore,Electronic City,Standard,Row House,5,5,4,2125,1820,1,9,Low (1-4),North,Unfurnished,16,1,5.4,0,0,1,0,2788,19.7,1.0,1,2,Resale,199.56,High
PROP-036868,Hyderabad,Gachibowli,Standard,Apartment,3,3,2,1424,1159,17,24,High (10-19),North-West,Semi-Furnished,12,2,4.3,1,0,1,1,4518,10.5,0.4,2,1,Resale,125.24,Low
PROP-026951,Hyderabad,Gachibowli,Standard,Apartment,2,3,1,729,610,8,15,Mid (5-9),North-West,Fully Furnished,0,1,5.5,0,0,1,1,1795,20.9,1.7,5,1,New,40.71,Low
PROP-023043,Delhi,Gurgaon DLF,Premium,Independent House,4,5,2,2183,1915,0,6,Ground,West,Fully Furnished,7,3,8.9,1,1,1,0,6869,9.6,1.4,6,3,New,400.35,High
PROP-018486,Bangalore,HSR Layout,Standard,Villa,4,4,0,2258,1943,9,18,Mid (5-9),North,Semi-Furnished,11,2,7.4,1,0,0,1,4589,10.9,1.2,4,1,Resale,145.14,Low
PROP-018446,Bangalore,HSR Layout,Standard,Apartment,2,2,0,926,787,19,26,High (10-19),West,Unfurnished,6,0,4.5,1,0,1,1,3177,10.4,0.2,3,1,Resale,58.87,Low
PROP-024199,Bangalore,HSR Layout,Standard,Apartment,4,4,3,1828,1551,1,7,Low (1-4),North-West,Unfurnished,9,1,4.9,0,0,0,0,2196,11.7,1.7,4,2,Resale,162.79,Low
PROP-029380,Delhi,Gurgaon DLF,Premium,Penthouse,5,5,4,2692,2167,4,7,Low (1-4),South-East,Fully Furnished,0,3,10.0,1,1,1,1,6765,5.6,1.0,5,5,Resale,312.85,High
PROP-039658,Hyderabad,Jubilee Hills,Premium,Apartment,5,5,2,2200,1926,27,31,Top (20+),North-East,Unfurnished,2,1,5.9,1,0,0,1,4532,4.2,2.4,4,3,Resale,318.03,High
PROP-011163,Delhi,South Delhi,Premium,Studio,1,2,0,713,581,15,24,High (10-19),South,Unfurnished,9,1,5.9,0,0,1,1,1868,7.3,3.4,3,2,Resale,70.79,Low
PROP-039988,Delhi,Noida Extension,Affordable,Apartment,3,4,2,1253,1030,13,14,High (10-19),North,Fully Furnished,2,1,5.2,0,0,0,1,2370,18.6,8.2,2,0,Resale,92.21,Low
PROP-019758,Mumbai,Navi Mumbai,Affordable,Villa,3,3,1,1849,1488,8,10,Mid (5-9),South-East,Semi-Furnished,19,2,7.4,0,1,0,1,4232,18.3,5.0,2,5,Resale,70.13,Low
PROP-009718,Delhi,Gurgaon DLF,Premium,Apartment,2,2,1,1054,891,3,11,Low (1-4),North,Semi-Furnished,6,2,7.8,1,0,1,1,4207,4.2,4.5,3,4,Resale,119.37,Low
PROP-009547,Delhi,Noida Sector 62,Standard,Apartment,3,3,1,1429,1145,13,19,High (10-19),East,Fully Furnished,7,2,6.3,0,0,0,1,2362,10.2,9.2,2,2,Resale,114.3,Low
PROP-008756,Mumbai,Andheri,Standard,Penthouse,5,5,3,2549,2052,9,15,Mid (5-9),West,Semi-Furnished,0,1,6.4,1,1,1,1,7322,14.5,5.8,1,1,New,303.42,High
PROP-010538,Bangalore,HSR Layout,Standard,Apartment,3,4,3,1427,1192,17,21,High (10-19),East,Fully Furnished,5,1,3.8,0,0,0,1,2591,21.8,3.8,3,1,Resale,84.92,Low
PROP-041968,Delhi,South Delhi,Premium,Independent House,5,6,3,2590,2087,24,25,Top (20+),South-East,Semi-Furnished,5,3,4.7,1,1,1,1,6612,4.9,1.7,3,3,Resale,390.2,High
PROP-018504,Mumbai,Navi Mumbai,Affordable,Villa,3,4,0,1699,1412,10,15,High (10-19),East,Fully Furnished,3,2,6.5,0,0,1,1,3575,22.2,1.4,3,3,New,113.11,Low
PROP-022181,Bangalore,Koramangala,Premium,Row House,5,5,3,2410,2012,3,12,Low (1-4),North,Semi-Furnished,4,3,5.9,1,1,1,1,6754,4.2,1.2,5,6,New,389.62,High
PROP-000463,Hyderabad,Kondapur,Standard,Independent House,2,2,0,1081,943,14,15,High (10-19),East,Unfurnished,7,2,6.6,0,0,0,1,2505,12.0,0.6,4,0,Resale,72.52,Low
PROP-022807,Hyderabad,Kondapur,Standard,Villa,4,5,2,2181,1851,10,16,High (10-19),East,Unfurnished,11,2,5.4,0,0,0,1,2544,11.4,2.3,3,1,Resale,179.19,Low
PROP-022767,Delhi,Dwarka,Standard,Apartment,3,4,1,1240,1090,2,5,Low (1-4),East,Semi-Furnished,2,1,5.7,0,0,0,1,2366,12.9,1.8,0,2,New,142.41,Low
PROP-015220,Delhi,Noida Sector 62,Standard,Villa,3,4,4,1601,1374,4,5,Low (1-4),South-East,Fully Furnished,1,5,7.9,0,0,1,1,2794,10.4,1.4,1,3,Resale,118.97,Low
PROP-001012,Bangalore,Whitefield,Standard,Row House,3,4,1,1393,1126,8,16,Mid (5-9),North-East,Semi-Furnished,3,5,9.3,0,0,0,1,2388,12.4,4.3,1,0,New,143.61,Low
PROP-009403,Bangalore,Indiranagar,Premium,Independent House,4,5,0,2103,1804,25,34,Top (20+),West,Unfurnished,9,2,7.0,1,1,1,1,6502,5.3,1.2,3,1,Resale,326.14,High
PROP-035261,Bangalore,Koramangala,Premium,Row House,4,3,2,1867,1602,2,3,Low (1-4),South-West,Semi-Furnished,0,0,7.0,1,0,1,1,4634,4.9,1.5,2,2,Resale,338.53,High
PROP-015570,Mumbai,Navi Mumbai,Affordable,Villa,3,3,1,1765,1490,5,7,Mid (5-9),East,Semi-Furnished,0,2,4.8,1,1,1,1,6538,22.2,3.9,4,3,Resale,109.36,Low
PROP-010907,Hyderabad,Kondapur,Standard,Villa,4,4,4,2270,1862,3,8,Low (1-4),South-East,Fully Furnished,1,3,6.1,0,0,1,1,3853,10.2,2.8,3,0,Resale,224.5,High
PROP-039471,Mumbai,Bandra,Premium,Apartment,2,2,3,941,789,2,6,Low (1-4),West,Unfurnished,6,3,8.1,0,0,1,1,2783,6.1,6.2,2,3,Resale,145.49,Low
PROP-041290,Hyderabad,Gachibowli,Standard,Row House,3,2,3,1515,1259,6,13,Mid (5-9),North-East,Unfurnished,6,2,2.8,0,0,1,1,2256,11.2,0.9,0,2,Resale,114.63,Low
PROP-037149,Mumbai,Bandra,Premium,Penthouse,5,6,2,2401,2024,6,13,Mid (5-9),North-East,Semi-Furnished,18,4,9.3,1,1,1,1,6521,4.8,0.9,3,1,Resale,373.01,High
PROP-048764,Hyderabad,Banjara Hills,Premium,Apartment,3,4,4,1298,1096,2,3,Low (1-4),East,Unfurnished,0,1,7.5,0,0,0,1,1369,13.4,3.4,3,1,Resale,201.49,High
PROP-036118,Mumbai,Thane,Affordable,Independent House,5,4,1,2598,2137,15,19,High (10-19),North-East,Unfurnished,6,1,4.1,0,0,0,1,3711,21.2,5.5,4,0,Resale,75.26,Low
PROP-003869,Bangalore,Koramangala,Premium,Independent House,4,5,2,2337,1876,6,12,Mid (5-9),North-West,Unfurnished,0,5,6.4,0,0,0,1,4164,4.3,0.8,8,1,New,370.7,High
PROP-045479,Mumbai,Andheri,Standard,Independent House,3,3,1,1696,1487,2,9,Low (1-4),North,Semi-Furnished,12,2,7.3,0,0,0,1,3036,12.1,1.2,1,4,New,182.37,Low
PROP-027434,Hyderabad,Banjara Hills,Premium,Independent House,4,4,4,1891,1586,17,21,High (10-19),South-West,Unfurnished,2,2,6.7,1,1,0,1,6522,4.6,3.3,4,2,New,265.89,High
PROP-029011,Hyderabad,Kondapur,Standard,Row House,3,3,3,1448,1158,3,12,Low (1-4),North-West,Unfurnished,7,1,6.0,1,0,1,1,4586,10.2,15.0,1,0,Resale,122.49,Low
PROP-041423,Hyderabad,Jubilee Hills,Premium,Apartment,5,5,1,2164,1873,4,10,Low (1-4),East,Unfurnished,3,2,6.9,1,0,1,1,4238,4.4,3.1,2,2,Resale,260.32,High
PROP-041299,Bangalore,Whitefield,Standard,Apartment,4,4,2,1594,1352,6,10,Mid (5-9),North-East,Semi-Furnished,0,1,5.2,1,0,1,1,3740,10.8,4.8,2,2,New,166.89,Low
PROP-011806,Bangalore,Koramangala,Premium,Apartment,3,2,2,1557,1296,3,4,Low (1-4),West,Unfurnished,11,0,7.4,1,1,1,1,6935,4.6,0.8,3,1,Resale,234.77,High
PROP-017958,Bangalore,HSR Layout,Standard,Row House,4,4,1,1790,1491,1,8,Low (1-4),North-West,Unfurnished,5,2,4.7,1,0,1,0,4235,10.9,1.8,1,0,Resale,175.07,Low
PROP-034101,Delhi,Gurgaon DLF,Premium,Villa,4,4,3,2447,2142,3,7,Low (1-4),North-East,Unfurnished,6,5,8.4,1,0,1,1,5391,9.8,0.2,4,2,New,352.63,High
PROP-009208,Hyderabad,Banjara Hills,Premium,Independent House,3,3,4,1780,1560,0,18,Ground,North,Semi-Furnished,1,1,9.0,1,0,1,0,4614,10.0,6.0,6,3,Resale,299.95,High
PROP-043035,Delhi,Noida Sector 62,Standard,Villa,4,4,1,2182,1914,7,8,Mid (5-9),East,Semi-Furnished,7,3,7.4,0,1,1,1,4505,10.8,2.3,5,3,Resale,141.72,Low
PROP-017158,Delhi,Dwarka,Standard,Independent House,3,4,1,1850,1605,16,23,High (10-19),North,Fully Furnished,4,2,4.9,0,0,0,1,3407,10.2,1.3,2,1,Resale,144.63,Low
PROP-033599,Bangalore,Whitefield,Standard,Independent House,4,4,3,2219,1892,3,7,Low (1-4),South-West,Semi-Furnished,3,0,5.0,0,0,0,1,3906,11.3,0.4,6,1,New,131.84,Low
PROP-025624,Mumbai,Powai,Standard,Apartment,3,3,1,1461,1279,6,8,Mid (5-9),East,Semi-Furnished,16,1,5.1,0,0,0,1,3218,10.5,0.6,2,0,Resale,114.43,Low
PROP-047572,Mumbai,Andheri,Standard,Apartment,2,1,0,1067,893,7,11,Mid (5-9),North-East,Semi-Furnished,4,2,4.2,0,0,0,1,1718,11.5,1.6,4,2,Resale,80.33,Low
PROP-042187,Delhi,South Delhi,Premium,Apartment,3,3,1,1298,1130,3,8,Low (1-4),East,Semi-Furnished,20,3,5.1,0,0,1,1,2539,8.5,8.2,9,1,Resale,217.39,High
PROP-004150,Mumbai,Andheri,Standard,Studio,1,1,2,472,385,3,7,Low (1-4),North-East,Fully Furnished,19,1,5.5,0,0,1,1,1736,16.0,7.0,2,4,Resale,17.23,Low
PROP-009205,Bangalore,Whitefield,Standard,Row House,5,5,2,2026,1662,32,40,Top (20+),East,Semi-Furnished,2,3,5.2,0,0,1,1,3552,12.1,1.6,4,0,New,193.43,High
PROP-010397,Bangalore,Whitefield,Standard,Villa,5,4,2,2598,2118,3,4,Low (1-4),South-East,Unfurnished,5,3,8.3,1,0,0,1,4329,18.3,4.4,3,3,Resale,281.68,High
PROP-023775,Mumbai,Navi Mumbai,Affordable,Independent House,5,5,4,2737,2260,3,9,Low (1-4),North,Fully Furnished,12,3,6.6,0,0,1,1,3290,18.5,2.1,2,1,New,121.78,Low
PROP-008702,Mumbai,Bandra,Premium,Studio,1,1,1,447,389,16,17,High (10-19),South,Unfurnished,2,1,5.9,0,0,1,1,1529,4.2,1.1,2,4,New,34.28,Low
PROP-014015,Bangalore,Koramangala,Premium,Apartment,2,3,2,1014,869,0,3,Ground,North,Fully Furnished,0,2,5.0,1,0,1,0,3585,12.4,2.0,3,1,Resale,159.15,Low
PROP-045311,Delhi,Noida Extension,Affordable,Villa,3,4,1,1970,1641,31,32,Top (20+),South,Unfurnished,27,4,6.8,0,0,1,1,3088,19.3,2.8,1,1,New,102.64,Low
PROP-011121,Hyderabad,Kondapur,Standard,Independent House,4,4,1,2144,1726,12,19,High (10-19),North-West,Fully Furnished,7,1,4.6,0,0,1,1,3458,15.3,6.2,3,0,Resale,192.48,High
PROP-007992,Mumbai,Andheri,Standard,Apartment,3,3,1,1342,1090,3,6,Low (1-4),South-East,Unfurnished,6,0,5.7,0,0,1,1,3107,10.4,7.2,3,1,New,91.0,Low
PROP-044600,Bangalore,HSR Layout,Standard,Independent House,5,4,0,2457,2112,6,14,Mid (5-9),North,Semi-Furnished,20,3,7.0,0,0,1,1,3194,10.1,0.6,5,2,Resale,167.66,Low
PROP-005606,Hyderabad,Kondapur,Standard,Independent House,3,4,4,1905,1607,33,41,Top (20+),South-West,Fully Furnished,7,1,4.1,0,0,0,1,2404,13.5,0.6,2,3,Resale,184.97,Low
PROP-034070,Bangalore,Electronic City,Standard,Independent House,3,3,2,1609,1339,2,6,Low (1-4),North,Unfurnished,6,1,5.5,1,0,1,1,4241,10.3,6.4,4,1,Resale,132.18,Low
PROP-032444,Mumbai,Thane,Affordable,Studio,1,1,0,459,372,5,6,Mid (5-9),South-East,Unfurnished,17,1,3.0,0,0,0,1,2160,23.5,6.0,5,2,New,10.0,Low
PROP-005184,Mumbai,Powai,Standard,Row House,4,3,2,1774,1467,7,15,Mid (5-9),West,Semi-Furnished,2,5,7.2,0,0,1,1,3760,10.9,1.3,1,2,New,165.25,Low
PROP-023483,Mumbai,Powai,Standard,Independent House,5,5,3,2581,2075,10,15,High (10-19),South,Unfurnished,0,1,3.7,0,0,0,1,4257,15.1,0.1,4,1,Resale,169.91,Low
PROP-037604,Mumbai,Andheri,Standard,Row House,2,2,2,648,524,5,14,Mid (5-9),North-West,Unfurnished,7,2,5.5,0,0,0,1,2019,12.6,0.8,4,2,New,53.39,Low
PROP-009952,Bangalore,Indiranagar,Premium,Independent House,4,4,2,2280,1932,34,40,Top (20+),South-East,Unfurnished,1,0,8.5,1,1,1,1,5493,6.5,3.3,7,3,Resale,361.98,High
PROP-029647,Delhi,Gurgaon DLF,Premium,Apartment,3,3,1,1243,1045,17,19,High (10-19),North,Semi-Furnished,2,1,3.0,1,0,1,1,4439,6.9,3.0,8,0,New,164.38,Low
PROP-039548,Bangalore,Electronic City,Standard,Apartment,2,2,4,1058,855,24,30,Top (20+),West,Fully Furnished,4,2,5.7,0,0,0,1,2434,10.2,0.7,3,2,Resale,123.7,Low
PROP-049187,Bangalore,Whitefield,Standard,Apartment,3,2,2,1132,914,17,26,High (10-19),North-West,Semi-Furnished,10,0,6.2,1,0,0,1,3110,11.1,2.0,2,2,Resale,87.8,Low
PROP-013346,Bangalore,Whitefield,Standard,Villa,5,5,4,2722,2257,0,16,Ground,South-East,Fully Furnished,19,4,8.1,1,0,1,0,4634,13.9,4.5,2,0,Resale,144.23,Low
PROP-007140,Delhi,South Delhi,Premium,Apartment,4,5,3,1786,1463,1,2,Low (1-4),West,Fully Furnished,0,2,7.3,0,1,0,0,4901,9.5,0.5,4,0,New,270.48,High
PROP-008723,Bangalore,Electronic City,Standard,Apartment,3,4,3,1451,1169,0,12,Ground,West,Semi-Furnished,14,2,3.3,0,0,1,0,2356,14.2,0.1,3,2,Resale,106.26,Low
PROP-017894,Bangalore,HSR Layout,Standard,Independent House,2,3,1,1174,1033,6,12,Mid (5-9),East,Semi-Furnished,0,1,4.3,0,0,0,1,3074,12.1,1.0,3,1,Resale,95.38,Low
PROP-002791,Bangalore,Koramangala,Premium,Independent House,4,3,3,2072,1682,0,2,Ground,South-West,Unfurnished,1,1,7.7,1,1,0,0,7599,5.3,6.5,3,1,New,212.82,High
PROP-004326,Hyderabad,Banjara Hills,Premium,Row House,5,5,0,2266,1884,8,15,Mid (5-9),North-West,Unfurnished,2,5,7.8,1,0,1,1,5748,8.8,0.5,2,3,Resale,348.99,High
PROP-010196,Bangalore,Koramangala,Premium,Row House,4,4,4,1639,1369,5,7,Mid (5-9),North,Unfurnished,3,3,8.3,1,0,0,1,3755,8.9,0.1,6,1,Resale,244.39,High
PROP-026534,Mumbai,Andheri,Standard,Studio,1,1,0,387,323,3,10,Low (1-4),South-West,Semi-Furnished,10,1,5.1,0,0,0,1,1887,11.5,1.9,4,0,New,10.0,Low
PROP-032457,Bangalore,HSR Layout,Standard,Studio,1,1,3,503,423,30,38,Top (20+),North-West,Semi-Furnished,0,2,6.0,0,0,0,1,870,17.4,0.5,2,3,Resale,38.77,Low
PROP-040213,Mumbai,Powai,Standard,Row House,3,4,1,1377,1135,7,8,Mid (5-9),West,Semi-Furnished,1,2,5.4,0,0,0,1,2904,14.5,1.3,4,3,New,92.01,Low
PROP-041241,Delhi,South Delhi,Premium,Studio,1,2,2,450,391,11,15,High (10-19),South-East,Fully Furnished,15,1,6.0,0,1,1,1,4059,5.0,0.7,2,1,Resale,44.98,Low
PROP-041989,Delhi,Dwarka,Standard,Apartment,2,3,2,731,626,3,9,Low (1-4),South,Unfurnished,12,1,3.7,0,0,1,1,1751,11.3,9.0,6,2,Resale,65.55,Low
PROP-040672,Hyderabad,Jubilee Hills,Premium,Villa,5,5,1,2649,2173,7,8,Mid (5-9),West,Semi-Furnished,11,3,4.8,1,1,1,1,7352,6.7,0.9,7,1,Resale,381.81,High
PROP-017449,Bangalore,HSR Layout,Standard,Apartment,1,1,1,560,483,0,7,Ground,South,Semi-Furnished,3,0,4.2,0,0,0,0,1715,11.3,0.9,3,0,Resale,27.72,Low
PROP-044443,Delhi,Noida Sector 62,Standard,Villa,4,4,2,2193,1865,2,11,Low (1-4),West,Unfurnished,4,3,6.9,1,0,1,1,4877,11.5,0.1,3,1,New,229.1,High
PROP-006579,Bangalore,Whitefield,Standard,Apartment,3,3,2,1206,986,19,26,High (10-19),North,Fully Furnished,0,2,5.1,0,0,1,1,1480,20.0,0.7,5,1,Resale,119.23,Low
PROP-022990,Delhi,South Delhi,Premium,Studio,1,1,0,300,259,9,16,Mid (5-9),North-East,Fully Furnished,2,0,5.3,1,1,1,1,5656,4.6,1.3,6,2,Resale,46.99,Low
PROP-031328,Hyderabad,Kondapur,Standard,Apartment,3,4,0,1387,1196,6,9,Mid (5-9),North-West,Semi-Furnished,8,5,6.6,0,0,1,1,3006,11.4,0.6,5,2,New,111.66,Low
PROP-028859,Delhi,Noida Sector 62,Standard,Apartment,5,5,4,2282,1929,4,13,Low (1-4),North-West,Unfurnished,26,1,6.2,0,0,1,1,3028,11.0,3.2,1,1,Resale,132.24,Low
PROP-002373,Delhi,Gurgaon DLF,Premium,Independent House,4,5,4,2106,1717,1,2,Low (1-4),South,Semi-Furnished,7,2,4.7,1,0,0,0,4873,4.9,5.2,3,5,New,300.51,High
PROP-035727,Bangalore,Electronic City,Standard,Apartment,3,4,3,1347,1182,6,14,Mid (5-9),North-West,Semi-Furnished,1,5,4.9,0,0,0,1,2003,14.2,10.3,6,1,Resale,64.93,Low
PROP-044816,Mumbai,Andheri,Standard,Independent House,4,5,1,2348,1911,4,5,Low (1-4),North,Unfurnished,13,0,5.0,1,0,0,1,4387,10.1,2.0,3,5,Resale,222.17,High
PROP-016074,Mumbai,Bandra,Premium,Penthouse,3,3,2,1739,1514,14,17,High (10-19),North,Unfurnished,5,4,6.4,1,0,1,1,4471,16.4,2.0,3,0,New,225.19,High
PROP-013219,Mumbai,Bandra,Premium,Studio,1,1,2,376,309,0,7,Ground,East,Unfurnished,5,0,7.7,0,0,1,0,1765,6.1,4.1,4,3,Resale,53.49,Low
PROP-047118,Bangalore,Koramangala,Premium,Villa,3,3,2,1744,1519,6,7,Mid (5-9),West,Unfurnished,2,1,8.6,1,0,1,1,5757,7.3,0.2,1,0,Resale,264.89,High
PROP-001950,Hyderabad,Madhapur,Standard,Villa,3,4,1,1615,1382,15,21,High (10-19),East,Semi-Furnished,11,5,6.3,0,1,0,1,5419,10.1,3.8,1,1,Resale,181.65,Low
PROP-033155,Bangalore,Electronic City,Standard,Row House,4,4,1,1931,1642,7,13,Mid (5-9),South,Fully Furnished,1,3,5.2,0,0,1,1,2371,12.1,3.3,8,3,Resale,117.31,Low
